"","rcl_ano_anterior","ano"
"1",641578197330,2015
"2",674522742049.7,2016
"3",709929575000,2017
"4",727254323971.32,2018
"5",805348403466.57,2019
"6",905658589594.291,2020
"7",651943266031.15,2021
"8",1062519047775.45,2022
"9",1253427306532.63,2023
"10",1233714884820.18,2024
