year,question_code,score,fundament,score_source,subcomponent
2000,dab_info_exp,4,Evidências empíricas,Giuberti (2012),0
2001,dab_info_exp,4,Evidências empíricas,Giuberti (2012),0
2002,dab_info_exp,4,Evidências empíricas,Giuberti (2012),0
2003,dab_info_exp,4,Evidências empíricas,Giuberti (2012),0
2004,dab_info_exp,4,Evidências empíricas,Giuberti (2012),0
2005,dab_info_exp,4,Evidências empíricas,Giuberti (2012),0
2006,dab_info_exp,4,Evidências empíricas,Giuberti (2012),0
2007,dab_info_exp,4,Evidências empíricas,Giuberti (2012),0
2008,dab_info_exp,4,Evidências empíricas,Giuberti (2012),0
2009,dab_info_exp,4,Evidências empíricas,Giuberti (2012),0
2010,dab_info_exp,4,Evidências empíricas,Giuberti (2012),0
2011,dab_info_exp,4,Evidências empíricas,Own,0
2012,dab_info_exp,4,Evidências empíricas,Own,0
2013,dab_info_exp,4,Evidências empíricas,Own,0
2014,dab_info_exp,4,Evidências empíricas,Own,0
2015,dab_info_exp,4,Evidências empíricas,Own,0
2016,dab_info_exp,4,Evidências empíricas,Own,0
2017,dab_info_exp,4,Evidências empíricas,Own,0
2018,dab_info_exp,4,Evidências empíricas,Own,0
2019,dab_info_exp,4,Evidências empíricas,Own,0
2020,dab_info_exp,4,Evidências empíricas,Own,0
2021,dab_info_exp,4,Evidências empíricas,Own,0
2022,dab_info_exp,4,Evidências empíricas,Own,0
2023,dab_info_exp,4,Evidências empíricas,Own,0
1990,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
1991,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
1992,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
1993,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
1994,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
1995,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
1996,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
1997,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
1998,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
1999,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
2000,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
2001,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
2002,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
2003,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
2004,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
2005,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
2006,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
2007,dab_acc_stand,0,Sem instituição,Giuberti (2012),0
2008,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Giuberti (2012),0
2009,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Giuberti (2012),0
2010,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Giuberti (2012),0
2011,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Own,0
2012,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Own,0
2013,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Own,0
2014,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Own,0
2015,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Own,0
2016,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Own,0
2017,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Own,0
2018,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Own,0
2019,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Own,0
2020,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Own,0
2021,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Own,0
2022,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Own,0
2023,dab_acc_stand,2,Portaria nº 184/2008 do Ministério da Fazenda,Own,0
1990,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
1991,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
1992,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
1993,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
1994,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
1995,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
1996,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
1997,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
1998,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
1999,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
2000,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
2001,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
2002,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
2003,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
2004,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
2005,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
2006,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
2007,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
2008,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
2009,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
2010,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Giuberti (2012),0
2011,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Own,0
2012,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Own,0
2013,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Own,0
2014,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Own,0
2015,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Own,0
2016,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Own,0
2017,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Own,0
2018,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Own,0
2019,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Own,0
2020,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Own,0
2021,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Own,0
2022,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Own,0
2023,dab_time_finst,4,Art. 71 da CF88 + Evidências empíricas,Own,0
1990,dab_time_legaud,2,Evidências empíricas,Giuberti (2012),0
1991,dab_time_legaud,2,Evidências empíricas,Giuberti (2012),0
1992,dab_time_legaud,2,Evidências empíricas,Giuberti (2012),0
1993,dab_time_legaud,2,Evidências empíricas,Giuberti (2012),0
1994,dab_time_legaud,2,Evidências empíricas,Giuberti (2012),0
1995,dab_time_legaud,2,Evidências empíricas,Giuberti (2012),0
1996,dab_time_legaud,2,Evidências empíricas,Giuberti (2012),0
1997,dab_time_legaud,2,Evidências empíricas,Giuberti (2012),0
1998,dab_time_legaud,2,Evidências empíricas,Giuberti (2012),0
1999,dab_time_legaud,2,Evidências empíricas,Giuberti (2012),0
2000,dab_time_legaud,2,Evidências empíricas,Giuberti (2012),0
2001,dab_time_legaud,2,Evidências empíricas,Giuberti (2012),0
2002,dab_time_legaud,0,Evidências empíricas,Own,0
2003,dab_time_legaud,0,Evidências empíricas,Own,0
2004,dab_time_legaud,0,Evidências empíricas,Own,0
2005,dab_time_legaud,0,Evidências empíricas,Own,0
2006,dab_time_legaud,0,Evidências empíricas,Own,0
2007,dab_time_legaud,0,Evidências empíricas,Own,0
2008,dab_time_legaud,0,Evidências empíricas,Own,0
2009,dab_time_legaud,0,Evidências empíricas,Own,0
2010,dab_time_legaud,0,Evidências empíricas,Own,0
2011,dab_time_legaud,0,Evidências empíricas,Own,0
2012,dab_time_legaud,0,Evidências empíricas,Own,0
2013,dab_time_legaud,0,Evidências empíricas,Own,0
2014,dab_time_legaud,0,Evidências empíricas,Own,0
2015,dab_time_legaud,0,Evidências empíricas,Own,0
2016,dab_time_legaud,0,Evidências empíricas,Own,0
2017,dab_time_legaud,0,Evidências empíricas,Own,0
2018,dab_time_legaud,0,Evidências empíricas,Own,0
2019,dab_time_legaud,0,Evidências empíricas,Own,0
2020,dab_time_legaud,0,Evidências empíricas,Own,0
2021,dab_time_legaud,0,Evidências empíricas,Own,0
2022,dab_time_legaud,0,Evidências empíricas,Own,0
2023,dab_time_legaud,0,Evidências empíricas,Own,0
1990,dab_timescop_audrep,0,Sem instituição,Giuberti (2012),0
1991,dab_timescop_audrep,0,Sem instituição,Giuberti (2012),0
1992,dab_timescop_audrep,0,Sem instituição,Giuberti (2012),0
1993,dab_timescop_audrep,0,Sem instituição,Giuberti (2012),0
1994,dab_timescop_audrep,0,Sem instituição,Giuberti (2012),0
1995,dab_timescop_audrep,0,Sem instituição,Giuberti (2012),0
1996,dab_timescop_audrep,0,Sem instituição,Giuberti (2012),0
1997,dab_timescop_audrep,0,Sem instituição,Giuberti (2012),0
1998,dab_timescop_audrep,0,Sem instituição,Giuberti (2012),0
1999,dab_timescop_audrep,0,Sem instituição,Giuberti (2012),0
2000,dab_timescop_audrep,0,Sem instituição,Own,0
2001,dab_timescop_audrep,4,Art. 52 da LRF,Giuberti (2012),0
2002,dab_timescop_audrep,4,Art. 52 da LRF,Giuberti (2012),0
2003,dab_timescop_audrep,4,Art. 52 da LRF,Giuberti (2012),0
2004,dab_timescop_audrep,4,Art. 52 da LRF,Giuberti (2012),0
2005,dab_timescop_audrep,4,Art. 52 da LRF,Giuberti (2012),0
2006,dab_timescop_audrep,4,Art. 52 da LRF,Giuberti (2012),0
2007,dab_timescop_audrep,4,Art. 52 da LRF,Giuberti (2012),0
2008,dab_timescop_audrep,4,Art. 52 da LRF,Giuberti (2012),0
2009,dab_timescop_audrep,4,Art. 52 da LRF,Giuberti (2012),0
2010,dab_timescop_audrep,4,Art. 52 da LRF,Giuberti (2012),0
2011,dab_timescop_audrep,4,Art. 52 da LRF,Own,0
2012,dab_timescop_audrep,4,Art. 52 da LRF,Own,0
2013,dab_timescop_audrep,4,Art. 52 da LRF,Own,0
2014,dab_timescop_audrep,4,Art. 52 da LRF,Own,0
2015,dab_timescop_audrep,4,Art. 52 da LRF,Own,0
2016,dab_timescop_audrep,4,Art. 52 da LRF,Own,0
2017,dab_timescop_audrep,4,Art. 52 da LRF,Own,0
2018,dab_timescop_audrep,4,Art. 52 da LRF,Own,0
2019,dab_timescop_audrep,4,Art. 52 da LRF,Own,0
2020,dab_timescop_audrep,4,Art. 52 da LRF,Own,0
2021,dab_timescop_audrep,4,Art. 52 da LRF,Own,0
2022,dab_timescop_audrep,4,Art. 52 da LRF,Own,0
2023,dab_timescop_audrep,4,Art. 52 da LRF,Own,0
1990,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
1991,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
1992,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
1993,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
1994,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
1995,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
1996,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
1997,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
1998,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
1999,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
2000,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
2001,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
2002,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
2003,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
2004,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
2005,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
2006,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
2007,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
2008,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
2009,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
2010,dab_pub_rec,2,Evidências empíricas,Giuberti (2012),0
2011,dab_pub_rec,2,Evidências empíricas,Own,0
2012,dab_pub_rec,2,Evidências empíricas,Own,0
2013,dab_pub_rec,2,Evidências empíricas,Own,0
2014,dab_pub_rec,2,Evidências empíricas,Own,0
2015,dab_pub_rec,2,Evidências empíricas,Own,0
2016,dab_pub_rec,2,Evidências empíricas,Own,0
2017,dab_pub_rec,2,Evidências empíricas,Own,0
2018,dab_pub_rec,2,Evidências empíricas,Own,0
2019,dab_pub_rec,2,Evidências empíricas,Own,0
2020,dab_pub_rec,2,Evidências empíricas,Own,0
2021,dab_pub_rec,2,Evidências empíricas,Own,0
2022,dab_pub_rec,2,Evidências empíricas,Own,0
2023,dab_pub_rec,2,Evidências empíricas,Own,0
1990,dab_fisc_fore,2,"Art. 22, I, da Lei nº 4.320/1964",Giuberti (2012),1
1991,dab_fisc_fore,2,"Art. 22, I, da Lei nº 4.320/1965",Giuberti (2012),1
1992,dab_fisc_fore,2,"Art. 22, I, da Lei nº 4.320/1966",Giuberti (2012),1
1993,dab_fisc_fore,2,"Art. 22, I, da Lei nº 4.320/1967",Giuberti (2012),1
1994,dab_fisc_fore,2,"Art. 22, I, da Lei nº 4.320/1968",Giuberti (2012),1
1995,dab_fisc_fore,2,"Art. 22, I, da Lei nº 4.320/1969",Giuberti (2012),1
1996,dab_fisc_fore,2,"Art. 22, I, da Lei nº 4.320/1970",Giuberti (2012),1
1997,dab_fisc_fore,2,"Art. 22, I, da Lei nº 4.320/1971",Giuberti (2012),1
1998,dab_fisc_fore,2,"Art. 22, I, da Lei nº 4.320/1972",Giuberti (2012),1
1999,dab_fisc_fore,2,"Art. 22, I, da Lei nº 4.320/1973",Giuberti (2012),1
2000,dab_fisc_fore,4,Evidência empírica: mensagem presidencial de encaminhamento da LOA,Giuberti (2012),1
2001,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Giuberti (2012),1
2002,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Giuberti (2012),1
2003,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Giuberti (2012),1
2004,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Giuberti (2012),1
2005,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Giuberti (2012),1
2006,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Giuberti (2012),1
2007,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Giuberti (2012),1
2008,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Giuberti (2012),1
2009,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Giuberti (2012),1
2010,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Giuberti (2012),1
2011,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Own,1
2012,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Own,1
2013,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Own,1
2014,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Own,1
2015,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Own,1
2016,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Own,1
2017,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Own,1
2018,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Own,1
2019,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Own,1
2020,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Own,1
2021,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Own,1
2022,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Own,1
2023,dab_fisc_fore,4,"Art. 4º, §4º, da LRF",Own,1
1990,cav_rest_em,"7,5","Art. 166, §3º, II, da CF88",Own,0
1991,cav_rest_em,"7,5","Art. 166, §3º, II, da CF89",Own,0
1992,cav_rest_em,"7,5","Art. 166, §3º, II, da CF90",Own,0
1993,cav_rest_em,"7,5","Art. 166, §3º, II, da CF91",Own,0
1994,cav_rest_em,5,Nova redação da R. n. 1/1991 dada pela R. n. 1/1993: novo art. 15,Own,0
1995,cav_rest_em,5,Nova redação da R. n. 1/1991 dada pela R. n. 1/1993: novo art. 16,Own,0
1996,cav_rest_em,5,R. n. 2/1995: arts. 19 e 20,Own,0
1997,cav_rest_em,5,R. n. 2/1995: arts. 19 e 20,Own,0
1998,cav_rest_em,5,R. n. 2/1995: arts. 19 e 20,Own,0
1999,cav_rest_em,5,R. n. 2/1995: arts. 19 e 20,Own,0
2000,cav_rest_em,5,R. n. 2/1995: arts. 19 e 20,Own,0
2001,cav_rest_em,5,R. n. 2/1995: arts. 19 e 20,Own,0
2002,cav_rest_em,5,R. n. 1/2001: arts. 24 e 25,Own,0
2003,cav_rest_em,5,R. n. 1/2001: arts. 24 e 25,Own,0
2004,cav_rest_em,5,Alteração do art. 25 da R. n. 1 /2001 pelas R. n. 2 e n. 3/2003,Own,0
2005,cav_rest_em,5,Alteração do art. 25 da R. n. 1 /2001 pelas R. n. 2 e n. 3/2003,Own,0
2006,cav_rest_em,5,Alteração do art. 25 da R. n. 1 /2001 pelas R. n. 2 e n. 3/2003,Own,0
2007,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49",Own,0
2008,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49",Own,0
2009,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49",Own,0
2010,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49",Own,0
2011,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49",Own,0
2012,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49",Own,0
2013,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49",Own,0
2014,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49",Own,0
2015,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49 + Art. 166, §9º, da CF88",Own,0
2016,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49 + Art. 166, §9º, da CF88 + Arts. 44 e 49 alterados pela R. n. 3/2015",Own,0
2017,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49 + Art. 166, §9º, da CF88 + Arts. 44 e 49 alterados pela R. n. 3/2015",Own,0
2018,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49 + Art. 166, §9º, da CF88 + Arts. 44 e 49 alterados pela R. n. 3/2015",Own,0
2019,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49 + Art. 166, §9º, da CF88 + Arts. 44 e 49 alterados pela R. n. 3/2015",Own,0
2020,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49 + Art. 166, §9º, da CF88 + Arts. 44 e 49 alterados pela R. n. 3/2015 + Art. 166, §12º, da CF88",Own,0
2021,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49 + Art. 166, §9º, da CF88 + Arts. 44 e 49 alterados pela R. n. 3/2015 + Art. 166, §12º, da CF88",Own,0
2022,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49 + Art. 166, §9º, da CF88 + Arts. 44 e 49 alterados pela R. n. 3/2015 + Art. 166, §12º, da CF88 + Idem ao anterior + Alteração do art. 53, § único, da R. n. 1/2006 pela R. n. 2/2021",Own,0
2023,cav_rest_em,5,"R. n. 1/2006: arts. 26, §§ 3º e 4º, 44, §§ 1º e 2º, 47, § 1º, e 49 + Art. 166, §9º, da CF88 + Arts. 44 e 49 alterados pela R. n. 3/2015 + Art. 166, §12º, da CF88 + Idem ao anterior + Alteração do art. 53, § único, da R. n. 1/2006 pela R. n. 2/2021 + Novos art. 166, §§ 9º e 9º-A, da CF88 + Alteração do art. 53, §1º, da R. n. 1/2006 pela R. n. 1/2022",Own,0
1990,cav_em_exec,10,Evidências empíricas,Own,0
1991,cav_em_exec,10,Evidências empíricas,Own,0
1992,cav_em_exec,10,Evidências empíricas,Own,0
1993,cav_em_exec,10,Evidências empíricas,Own,0
1994,cav_em_exec,0,Art. 28 da LDO,Own,0
1995,cav_em_exec,0,Art. 29 da LDO,Own,0
1996,cav_em_exec,0,Art. 18 da LDO,Own,0
1997,cav_em_exec,0,Art. 18 da LDO,Own,0
1998,cav_em_exec,0,Art. 26 da LDO,Own,0
1999,cav_em_exec,0,Art. 27 da LDO,Own,0
2000,cav_em_exec,0,Art. 34 da LDO,Own,0
2001,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2002,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2003,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2004,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2005,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2006,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2007,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2008,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2009,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2010,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2011,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2012,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2013,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2014,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2015,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2016,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2017,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2018,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2019,cav_em_exec,0,Lei nº 8.666/1993 + LC nº 101/200,Own,0
2020,cav_em_exec,5,"Art. 166-A, §2º, da CF88",Own,0
2021,cav_em_exec,5,"Art. 166-A, §2º, da CF88",Own,0
2022,cav_em_exec,5,"Art. 166-A, §2º, da CF88",Own,0
2023,cav_em_exec,5,"Art. 166-A, §2º, da CF88",Own,0
1990,cav_no_app_h,5,"Art. 50, § único, da LDO do ano respectivo",Own,0
1991,cav_no_app_h,5,Art. 53 da LDO do ano respectivo,Own,0
1992,cav_no_app_h,5,"Art. 48, §1º da LDO do ano respectivo",Own,0
1993,cav_no_app_h,5,Art. 55 da LDO do ano respectivo,Own,0
1994,cav_no_app_h,5,Art. 65 da LDO do ano respectivo,Own,0
1995,cav_no_app_h,5,Art. 64 da LDO do ano respectivo,Own,0
1996,cav_no_app_h,5,Art. 49 da LDO do ano respectivo,Own,0
1997,cav_no_app_h,5,Art. 53 da LDO do ano respectivo,Own,0
1998,cav_no_app_h,5,Art. 63 da LDO do ano respectivo,Own,0
1999,cav_no_app_h,5,Art. 72 da LDO do ano respectivo,Own,0
2000,cav_no_app_h,5,Art. 70 da LDO do ano respectivo,Own,0
2001,cav_no_app_h,"7,5",Art. 81 da LDO do ano respectivo,Own,0
2002,cav_no_app_h,"7,5",Art. 78 da LDO do ano respectivo,Own,0
2003,cav_no_app_h,"7,5",Art. 65 da LDO do ano respectivo,Own,0
2004,cav_no_app_h,"7,5",Art. 68 da LDO do ano respectivo,Own,0
2005,cav_no_app_h,"7,5",Art. 70 da LDO do ano respectivo,Own,0
2006,cav_no_app_h,5,Art. 74 da LDO do ano respectivo,Own,0
2007,cav_no_app_h,5,Art. 75 da LDO do ano respectivo,Own,0
2008,cav_no_app_h,5,Art. 72 da LDO do ano respectivo,Own,0
2009,cav_no_app_h,5,Art. 69 da LDO do ano respectivo,Own,0
2010,cav_no_app_h,5,Art. 68 da LDO do ano respectivo,Own,0
2011,cav_no_app_h,5,Art. 68 da LDO do ano respectivo,Own,0
2012,cav_no_app_h,5,Art. 65 da LDO do ano respectivo,Own,0
2013,cav_no_app_h,5,Art. 50 da LDO do ano respectivo,Own,0
2014,cav_no_app_h,5,Art. 53 da LDO do ano respectivo,Own,0
2015,cav_no_app_h,5,Art. 53 da LDO do ano respectivo,Own,0
2016,cav_no_app_h,5,Art. 56 da LDO do ano respectivo,Own,0
2017,cav_no_app_h,5,Art. 60 da LDO do ano respectivo,Own,0
2018,cav_no_app_h,5,Art. 57 da LDO do ano respectivo,Own,0
2019,cav_no_app_h,5,Art. 60 da LDO do ano respectivo,Own,0
2020,cav_no_app_h,5,Art. 61 da LDO do ano respectivo,Own,0
2021,cav_no_app_h,5,Art. 65 da LDO do ano respectivo,Own,0
2022,cav_no_app_h,5,Art. 63 da LDO do ano respectivo,Own,0
2023,cav_no_app_h,5,Art. 70 da LDO do ano respectivo,Own,0
1990,cav_audit,5,Evidências empíricas,Own,0
1991,cav_audit,5,Evidências empíricas,Own,0
1992,cav_audit,5,Evidências empíricas,Own,0
1993,cav_audit,5,Evidências empíricas,Own,0
1994,cav_audit,5,Evidências empíricas,Own,0
1995,cav_audit,5,Evidências empíricas,Own,0
1996,cav_audit,5,Evidências empíricas,Own,0
1997,cav_audit,5,Evidências empíricas,Own,0
1998,cav_audit,5,Evidências empíricas,Own,0
1999,cav_audit,5,Evidências empíricas,Own,0
2000,cav_audit,5,Evidências empíricas,Own,0
2001,cav_audit,5,Evidências empíricas,Own,0
2002,cav_audit,"2,5",Evidências empíricas,Own,0
2003,cav_audit,"2,5",Evidências empíricas,Own,0
2004,cav_audit,"2,5",Evidências empíricas,Own,0
2005,cav_audit,"2,5",Evidências empíricas,Own,0
2006,cav_audit,"2,5",Evidências empíricas,Own,0
2007,cav_audit,"2,5",Evidências empíricas,Own,0
2008,cav_audit,"2,5",Evidências empíricas,Own,0
2009,cav_audit,"2,5",Evidências empíricas,Own,0
2010,cav_audit,"2,5",Evidências empíricas,Own,0
2011,cav_audit,"2,5",Evidências empíricas,Own,0
2012,cav_audit,"2,5",Evidências empíricas,Own,0
2013,cav_audit,"2,5",Evidências empíricas,Own,0
2014,cav_audit,"2,5",Evidências empíricas,Own,0
2015,cav_audit,"2,5",Evidências empíricas,Own,0
2016,cav_audit,"2,5",Evidências empíricas,Own,0
